time_slot;ngram;n;df_idft
2025-08-09;w a;2;0.6834532374100719
2025-08-09;g s;2;0.1366906474820144
2025-08-09;u n;2;0.1510791366906475
2025-08-09;  c;2;0.48201438848920863
2025-08-09;s t;2;0.460431654676259
2025-08-09;a w;2;0.6618705035971223
2025-08-09;s u;2;0.2014388489208633
2025-08-09;o s;2;0.45323741007194246
2025-08-09;k p;2;0.48201438848920863
2025-08-09;b p;2;0.39568345323741005
2025-08-09;e s;2;0.30935251798561153
2025-08-09;p k;2;0.41007194244604317
2025-08-09;a j;2;0.02158273381294964
2025-08-09;h u;2;0.014388489208633094
2025-08-09;d a;2;0.3237410071942446
2025-08-09;b  ;2;0.014388489208633094
2025-08-09;r g;2;0.41007194244604317
2025-08-09;  d;2;0.3669064748201439
2025-08-09;  w;2;0.02877697841726619
2025-08-09;k u;2;0.1223021582733813
2025-08-09;u m;2;0.03597122302158273
2025-08-09;s a;2;0.3381294964028777
2025-08-09;i a;2;0.23741007194244604
2025-08-09;n a;2;0.39568345323741005
2025-08-09;j i;2;0.02877697841726619
2025-08-09;e t;2;0.1510791366906475
2025-08-09;b a;2;0.2302158273381295
2025-08-09;b e;2;0.22302158273381295
2025-08-09;i h;2;0.12949640287769784
2025-08-09;r s;2;0.11510791366906475
2025-08-09;l e;2;0.07194244604316546
2025-08-09;d e;2;0.07913669064748201
2025-08-09;  i;2;0.1079136690647482
2025-08-09;a g;2;0.1223021582733813
2025-08-09;e m;2;0.14388489208633093
2025-08-09;n d;2;0.10071942446043165
2025-08-09;u a;2;0.20863309352517986
2025-08-09;n e;2;0.1510791366906475
2025-08-09;p n;2;0.2805755395683453
2025-08-09;g g;2;0.28776978417266186
2025-08-09;m p;2;0.1223021582733813
2025-08-09;a i;2;0.2014388489208633
2025-08-09;p p;2;0.302158273381295
2025-08-09;a u;2;0.08633093525179857
2025-08-09;i o;2;0.050359712230215826
2025-08-09;c a;2;0.07913669064748201
2025-08-09;r c;2;0.04316546762589928
2025-08-09;a b;2;0.04316546762589928
2025-08-09;o p;2;0.02877697841726619
2025-08-09;i i;2;0.014388489208633094
2025-08-09;  o;2;0.04316546762589928
2025-08-09;u r;2;0.14388489208633093
2025-08-09;u  ;2;0.07913669064748201
2025-08-09;i k;2;0.09352517985611511
2025-08-09;o d;2;0.02877697841726619
2025-08-09;a p;2;0.06474820143884892
2025-08-09;s o;2;0.02158273381294964
2025-08-09;n j;2;0.03597122302158273
2025-08-09;g u;2;0.04316546762589928
2025-08-09;  r;2;0.07194244604316546
2025-08-09;m u;2;0.03597122302158273
2025-08-09;i l;2;0.05755395683453238
2025-08-09;g k;2;0.050359712230215826
2025-08-09;p u;2;0.04316546762589928
2025-08-09;n i;2;0.08633093525179857
2025-08-09;i m;2;0.07194244604316546
2025-08-09;k s;2;0.1079136690647482
2025-08-09;u j;2;0.014388489208633094
2025-08-09;j u;2;0.014388489208633094
2025-08-09;l u;2;0.1079136690647482
2025-08-09;p l;2;0.02877697841726619
2025-08-09;d u;2;0.08633093525179857
